Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
Help: See http://wonder.cdc.gov/wonder/help/cancer-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Aug 20, 2024 11:22:25 AM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2023 submission; 2024",,,,,,,,,
"release. Accessed at http://wonder.cdc.gov/cancer-v2021.html on Aug 20, 2024 11:22:25 AM",,,,,,,,,
---,,,,,,,,,
Messages:,,,,,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,,,
2. Rows with zero Count are hidden. Use Quick Options above to show zero rows.,,,,,,,,,
3. Rows with suppressed Count are hidden. Use Quick Options above to show suppressed rows.,,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
"1. Statistics are suppressed to protect personal privacy, for the following conditions: <ol><li> Data are suppressed if the",,,,,,,,,
figures represent fewer than 16 cases for the specific category in the table cell. </li><li> Counts and rates are suppressed for,,,,,,,,,
"cells at the Metropolitan Statistical Area (MSA) level for the race categories ""American Indian or Alaska Native"" or ""Asian",,,,,,,,,
"or Pacific Islander"" when the specific category's population for rate calculations is less than 50,000 persons. </li><li> Data",,,,,,,,,
are suppressed at the state and MSA level for certain race and ethnicity groups: <ul><li> American Indian or Alaska Native data,,,,,,,,,
"are suppressed at the state and MSA level for residents of Illinois, Kansas, New Jersey, and New York; </li><li> Hispanic Asian",,,,,,,,,
or Pacific Islander and Hispanic Black or African American data are suppressed at the state and MSA level for residents of,,,,,,,,,
Kansas; </li><li> Race by ethnicity data are suppressed for state specific statistics for residents of North Dakota and,,,,,,,,,
Wisconsin. Ethnicity data are also suppressed for residents of North Dakota and Wisconsin. </li></ul> </li></ol> States decide,,,,,,,,,
whether to suppress data for specific race and ethnicity categories. The suppression criteria may vary in previous releases of,,,,,,,,,
these data More information: http://wonder.cdc.gov/wonder/help/cancer-v2021.html#Confidentiality.,,,,,,,,,
2. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More,,,,,,,,,
information: http://wonder.cdc.gov/wonder/help/cancer-v2021.html#Genital Cancers List.,,,,,,,,,
"3. 'Not Applicable' is displayed for Population when it is not available, and for Age Adjusted Rates, Crude Rates, 95%",,,,,,,,,
"Confidence Interval, and Standard Error when they cannot be calculated due to lack of denominator population.",,,,,,,,,
4. 'Missing' is displayed for a combination of states/territories/MSAs and years that did not meet the United States Cancer,,,,,,,,,
Statistics (USCS) publication standard or did not allow permission for their data to be used.,,,,,,,,,
"5. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
6. These states are missing data for the indicated year: Indiana 2020-2021; Mississippi 1999-2002; South Dakota 1999-2000.,,,,,,,,,
7. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data,,,,,,,,,
shown for the United States are diagnoses and populations from included registries only.,,,,,,,,,
"8. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for",,,,,,,,,
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define",,,,,,,,,
standard groupings of primary cancer sites.,,,,,,,,,
"9. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
